ID,観光地名,ふりがな,地域ブロック,市町村,住所１（地番まで),住所２（マンション名等）,緯度,経度,説明,電話番号,ファックス,公共交通,車,駐車場,営業時間,定休日,料金,ユニバーサル対応トイレ,ユニバーサル対応駐車場,ユニバーサル対応その他,備考,ホームページURL,テーマ,カテゴリ,サブカテゴリ,分類キーワード
1140,滑川町エコミュージアムセンター,ナメカワマチエコミュージアムセンター,西部地域,滑川町,福田763-4,,36.0665397,139.3635359,国指定天然記念物「ミヤコタナゴ（コイ科の淡水魚）」の保護繁殖の様子を展示しています。親が７００匹、子が１４００匹飼育されており、埼玉県内では滑川町と所沢市のみで生息が確認されています。人工繁殖で誕生したばかりの稚魚が見学できるほか、ザリガニ釣り体験などを定期的に行っています。,0493-57-1902,,東武東上線「森林公園駅」下車　徒歩約３５分,関越自動車道「東松山」ＩＣより約１５分,,１０：００～１７：００,"・毎週月曜日
・毎月第３日曜日
・祝日（※定休日と重なった場合は、その翌日も休館）
・年末年始",無料,,,,,http://namegawa.net/place/eco.htm,観・楽,博物館・美術館・記念館,博物館・記念館,資料館 博物館
1141,国立女性教育会館,コクリツジョセイキョウイクカイカン,西部地域,嵐山町,菅谷728,,36.0355397,139.3258667,男女を問わず宿泊して研修、スポーツ、図書資料等の利用が出来る施設です。日本庭園や茶室、テニスコートや温水プールなどその施設は多岐に渡っています。※２０１１年２月末日まで施設工事の為、閉館中です。,0493-62-6714,,東武東上線「武蔵嵐山駅」下車　徒歩約１５分,関越自動車道「嵐山・小川」ＩＣより約２５分,,９：００～１７：００,,施設利用料：要,,,,,http://www.nwec.jp/,遊・体,産業観光・工場見学,産業観光,公共施設 テニス プール
1142,熊谷捺染組合,クマガヤナッセンクミアイ,北部地域,熊谷市,銀座2-50,,36.139855,139.3942888,熊谷染めの起源は江戸時代の元禄年間と言われ、木綿の集散地であった熊谷は荒川の伏流水が星川を中心に湧き出ていたため、染色業者が集まったといわれています。当初は木綿に染色した製品が主流でしたが、絹織物が庶民に許されてからは、絹を用いた捺染製品へと移行しました。熊谷捺染組合では熊谷染めの体験ができます。,048-523-8324,,ＪＲ高崎線・秩父鉄道「熊谷駅」下車　徒歩約１０分,関越自動車道「東松山」ＩＣより約３０分,,"土・日曜日　１３：００～１５：００
※要予約（１週間前まで）",,,,,,,http://www.sainokuni-kanko.jp/index.php?action=pages_view_main&active_action=traditionalcraft_view_main_detail&traditionalcraft_id=1&content_id=40&blo,遊・体,伝統工芸・地場産業,染物・織物,染物
1143,埼玉県埋蔵文化財調査事業団,サイタマケンマイゾウブンカザイチョウサジギョウダン,北部地域,熊谷市,船木台4-4-1,,36.0787696,139.4222329,遺跡の出土品や土器の復元作業の見学、関連図書の閲覧が頂ける施設です。県内各地から出土した国・県指定有形文化財（考古資料）１２件を含む、３６万点をこえる資料が保管されています。また、現在も事業団により遺跡の発掘作業が行われています。,0493-39-3955,,ＪＲ高崎線「吹上駅」下車　徒歩約５５分,関越自動車道「東松山」ＩＣより約２５分,,９：００～１６：３０,土、日、祝日,無料,,,,,http://www.saimaibun.or.jp/,観・楽,歴史・文化,歴史,資料館 体験
1144,寺内織物,テラウチオリモノ,秩父地域,秩父市,道生町7-1,,35.9977601,139.0818614,"埼玉県指定伝統工芸モデル工場で、創業９０余年の織物工場です。事前の予約で、織物の製造工程の過程が見学や織物の手作り体験も出来ます。また、オリジナル商品の販売も行っています。
※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設",0494-22-0605,,"・秩父鉄道「秩父駅」下車　徒歩約５分
・西武秩父線「西武秩父駅」下車　徒歩約１５分",関越自動車道「花園」ＩＣより約４５分,,１０：００～１５：００,不定休,"＜入場・見学料＞
無料

＜手織り体験＞
６００円",,,,,,遊・体,伝統工芸・地場産業,染物・織物,体験
1145,秩父不動滝,ちちぶふどうのたき,秩父地域,秩父市,大滝,,35.95742661,138.9071846,国道沿いのあずま屋から滝川渓谷まで下り、つり橋を渡りつづら折りを登ること約２０分。轟音と共に現れるのが滝川渓谷に流れ込む大除沢の「不動滝」です。落差は約５０ｍで、江戸時代末期には修行場であり、その滝の荘厳な様子から、不動明王にちなんで名付けられたと言われています。,0494-55-0862（大滝総合支所）,,秩父鉄道「三峰口駅」下車　西武観光バス「秩父湖行き」にてバス停「秩父湖」下車後、川又行きに乗り換え「栃本関所跡」バス停より徒歩約７０分,関越自動車道「花園」ＩＣより約９０分,,常時開放,なし,無料,,,,,http://www.city.chichibu.lg.jp/menu3072.html,観・楽,自然・景観,滝・名水・ホタル,滝
1146,三十槌の氷柱,みそつちのつらら,秩父地域,秩父市,大滝三十槌　（ウッドルーフ奥秩父オートキャンプ場内及び荒川河川敷 ）,,,,"奥秩父の冬の名勝「三十槌の氷柱（みそつちのつらら）」は、岩清水が凍り作り上げられる氷の芸術です。寒さが厳しくなっていくにつれ、徐々にその姿を現します。また、例年１月下旬から２月中旬まで、青と白のライトが２０分ごとに切り替わり、ライトアップされた美しい氷柱が荘厳と輝きます。
",0494-55-0707（秩父観光協会大滝支部）,,"秩父鉄道「三峰口駅」下車　西武観光バス「秩父湖」行き
※乗降フリーのバスの為、運転手さんに「三十槌の氷柱」の見学場所下車
",関越自動車道「花園」ＩＣより約９０分,,"８：００～１７：００
※ライトアップ
【平日】１７：００～２０：００
【休日】１７：００～２１：００",例年１月下旬から２月上旬・中旬頃が見頃です,無料,,,,,http://navi.city.chichibu.lg.jp/flower/misotsuchi/index.html,観・楽,自然・景観,滝・名水・ホタル,滝
1147,彩湖自然学習センター,サイコシゼンガクシュウセンター,中央地域,戸田市,大字内谷2887,,35.8179008,139.6342956,５階からなる彩湖周辺の自然環境や荒川の治水・利水事業などについて、学習頂ける総合施設で、屋上には展望広場があり、ライブカメラも設置されています。彩湖・道満地域という立地環境を生かし、野鳥観察会や自然観察会などの自然体験学習も定期的に行っています。,048-422-9991（彩湖自然学習センター）,048-422-9993（彩湖自然学習センター）,"ＪＲ「武蔵浦和駅」下車　美女木方面・下笹目行きバスにて修行目（しゅぎょうめ）バス停より徒歩約１０分
",東京外環自動車道「戸田西」ＩＣよりすぐ,,１０：００～１６：３０,"・第２・第４・第５月曜日
（この日が祝日、振替休日の場合は開館）
・月末　館内整理日
（この日が、土日曜日、休日の場合は開館）
・１２/２８～１/４
",無料,あり,,"盲導犬の受け入れ：可
車椅子対応スロープ：あり",,http://www.city.toda.saitama.jp/433/432448.html,観・楽,博物館・美術館・記念館,博物館・記念館,博物館 資料館 自然科学 湖沼
1148,戸田市こどもの国,トダシコドモノクニ,中央地域,戸田市,本町1-17-7,,35.80962621,139.6806049,戸田市が運営する幼児・子供用施設です。幼児用プール、どんぐりの森、公園などからなり、土・日曜日、祝日、春夏冬休み中は１日３回投影されるプラネタリウムのほか、各種教室なども開催されています。また、冬季にはこどもの国地域がイルミネーションで彩られます。,048-443-2387,048-446-5050,ＪＲ埼京線「戸田公園駅」下車　徒歩約５分,"東京外環自動車道「戸田東」ＩＣより約１５分
※専用駐車場が少ないので、公共交通機関をご利用下さい",,"＜公園＞４月～９月：９：００～１８：００/１０月～３月：９：００～１７：００
＜プラネタリウム＞土曜・日曜・祝日：１０：３０/１３：３０/１５：３０
","・毎月第２･４･５月曜日（祝日にあたる場合は開館）
・１２/２９～１/３

","・公園、図書館・展示ホール：無料
・プラネタリウム：児童５０円/生徒５０円/付添１００円/幼児無料※付添が必要
・プール：幼児３０円/生徒５０円/付添５０円",,,,,http://www.city.toda.saitama.jp/7/6450.html,遊・体,レジャー,星空・プラネタリウム,公園・緑地 プール プラネタリウム
1149,秩父湖（二瀬ダム）,チチブコ（フタセダム）,秩父地域,秩父市,大滝3875-1,,35.93965614,138.9061546,昭和３７年５月に完成した荒川の本流最上流部に建設されたダムで、二瀬ダムによって出来た人造湖を秩父湖と言います。「秩父湖」という名称は秩父宮妃殿下によって名づけられました。また、湖には二つの橋が架けられており、新緑・紅葉のコントラストが堪能できます。,0494-55-0001（二瀬ダム管理所）,,"・秩父鉄道「三峰口駅」下車　徒歩約１７０分
・秩父鉄道「三峰口駅」下車　西部観光バス「秩父湖」行き　終点よりすぐ",関越自動車道「花園」ＩＣより約９０分,,常時開放,なし,無料,,,,,http://www.ktr.mlit.go.jp/futase/index.html,観・楽,自然・景観,河川・湖沼・渓谷,湖沼
1150,戸田橋花火大会,とだばしはなびたいかい,中央地域,戸田市,荒川戸田橋上流/戸田市側河川敷,,35.7998721,139.6761632,５０年以上の歴史ある戸田市を代表する夏の風物詩です。まちの広範囲より花火を見ることが出来ます。尺玉やスターマインの迫力に定評があり、同時開催のいたばし花火大会とあわせて１１，０００発もの花火が競演し、そのプログラム数はおおよそ８０にも及びます。,048-431-0206（戸田橋花火大会実行委員会）,048-433-2200（戸田橋花火大会実行委員会）,ＪＲ埼京線「戸田公園駅」下車　徒歩約２０分,駐車場がありませんので、公共交通機関をご利用ください。,,"毎年８月第１土曜日　１９：００～２０：４５
※荒天・強風時翌日曜日に順延",-,"無料
※有料指定席あり/２，５００円～",あり,,,,http://www.todabashi-hanabi.jp/,観・楽,祭り・伝統芸能,祭り,体験
1151,元荒川ムサシトミヨ生息地,モトアラカワムサヒトミヨセイソクチ,北部地域,熊谷市,久下,,36.129984,139.3990722,ムサシトミヨは、現在では熊谷市内、元荒川の源流付近にのみ生息する希少水生動物の１つで、巣を作る淡水魚です。現在生息地の上流が文化財に指定され、県の魚にも選定され保護されています。また、埼玉県農林総合研究センター水産支所熊谷試験地を起点に元荒川を下ること約３００ｍの範囲を中心に保護活動が行われています。,048-536-1521（熊谷市役所環境政策課）,048-536-2009（熊谷市役所環境政策課）,ＪＲ高崎線「熊谷駅」下車　徒歩約２０分,関越自動車道「花園」ＩＣより約３５分,,常時開放,なし,無料,,,,,http://www.city.kumagaya.lg.jp/kanko/midokoro/musashitomiyo.html,観・楽,自然・景観,滝・名水・ホタル,郷土景観
1152,伊佐沼,イサヌマ,西部地域,川越市,伊佐沼,,35.92405374,139.5158958,埼玉県内では最大の沼で、関東でも印旛沼に次ぐ大きさだと言われ、水鳥も多く生息しています。また、近くには桜が約２００本植樹されており、川越の桜の名所の一つでもあります。また、毎年７月には「小江戸川越花火大会」が開催され、多くの人出で賑わいます。※平成２３年３月末日まで環境整備工事を行っています。,049-227-8233（小江戸川越観光協会）,,ＪＲ「川越駅」下車　徒歩約５０分,関越自動車道「川越」ＩＣより約１５分,,常時開放,なし,無料,,,,,,観・楽,自然・景観,河川・湖沼・渓谷,湖沼
1153,谷津の里,ヤツノサト,西部地域,滑川町,福田2132,,36.0883502,139.3554964,"のどかな里山風景の中で、自然とのふれあいや農業を体験できる施設です。年間利用料を払えば自由に利用できる「ふれあい農園」や、いちご狩りが人気の「いちご農園」などの果樹農園があります。米作り体験、たけのこ掘り、手打ちうどんづくり、じゃがいもづくり、里山散策ハイキングなどの数々のイベントが年間を通じて行われています。
",0493-56-6906（滑川町役場産業振興課）,,東武東上線「森林公園駅」下車　徒歩約７０分,関越自動車道「東松山」ＩＣより約１５分,,"見学は自由

＜いちご狩り＞１０：００～１５：００
（お問い合わせTEL：0493-56-5055）","見学は自由です
（いちご狩り等はお問い合わせください）","見学は無料
いちご狩りは有料　一般１，５００円／小学生未満８００円",,,"＜車椅子での見学＞
起伏がありますが、平坦地は可能です",,http://www.namegawa-kanko.jp/ex/yatsu.htm,遊・体,体験観光,観光農園・収穫体験,
1154,隆清堂,りゅうせいどう,西部地域,川越市,久保町3-17,,35.9192404,139.4868349,"昭和２２年の創業から現在に至るまで芋菓子一筋を製造販売しているお店です。特に川越を代表する銘菓として有名な「芋せんべい」は甘さを控えめにして、芋本来の味を引き出せるよう工夫されています。「特選生姜入り芋せんべい」や「いも松葉」、「おさつチップ芋まるくん」も人気があります。
※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設",049-224-6265,,"・ＪＲ「川越駅」下車　徒歩約２０分
・西武新宿線「本川越駅」下車　徒歩約１０分",関越自動車道「川越」ＩＣより約１５分,,９：３０～１９：００,月曜日（祝祭日及び２８日の場合は翌日） ,-,,,,,http://www.koedokko.net/meiten/08ryuusei/ryuuseidou.html,食・買,物産・おみやげ,せんべい,おみやげ 食品 彩の国優良ブランド品
1155,JAXA宇宙航空研究開発機構　地球観測センター,じゃくさうちゅうこうくうけんきゅうかいはつきこう　ちきゅうかんそくせんたー,西部地域,鳩山町,大字大橋字沼ノ上1401,,35.9912424,139.3369974,"地球観測センターは、比企丘陵に囲まれた自然の中で、季節ごとの様々な風景を楽しみながら施設を見学していただけます。展示室では、地球観測衛星の模型や、衛星からの地球の画像を見ることが出来ます。また、インターネットやパソコンでのクイズも楽しめます。また、春と秋には通常は見ることが出来ない内部設備を公開しています。
※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設",049-298-1200,,東武東上線「高坂駅」下車　鳩山ニュータウン行きバスにて「山村短期大学前」より徒歩約３０分,関越自動車道「鶴ヶ島」ＩＣより約２５分,あり（１台）,１０：００～１６：３０,無休,無料,あり（１か所）,あり（１台）,,※事前ご予約にて、説明員付きで設備を見学頂けます。展示室の見学は事前予約は不要です。,http://www.eorc.jaxa.jp/about/hatoyama/introduction/index.html,遊・体,産業観光・工場見学,産業観光,資料館
1156,道の駅　きたかわべ,ミチノエキ　キタカワベ,東部地域,加須市,小野袋1737番地 ,,36.2110276,139.6626334,渡良瀬遊水地が一望出来る立地にある道の駅です。物産販売施設があり、旧北川辺町の肥沃な大地に育まれた銘柄米コシヒカリや桃太郎トマトをはじめとする新鮮な地元農産物が販売されています。また、農村レストランでは、味が自慢の手打ちそばが好評であり、数多くのリピーターが訪れます。,"0280-62-5555（物産販売施設）
0280-61-2299（スポーツ遊学館）",,東武日光線「柳生駅」下車　徒歩約１０分,東北自動車道「加須」ＩＣより約３０分,あり（３台）,"＜スポーツ遊学館＞９：００～１７：００
＜特産直売所＞１０：００～１７：００（１０月～３月）、１０時～１８時（４月～９月）
・レストラン（食堂）：１１：００～１６：００
","＜スポーツ遊学館＞月曜日（但し休日は開館）、開館した休日の翌日、年末年始
＜物産販売施設＞月曜日（但し休日は開館）、開館した休日の翌日、年末年始 ",-,あり（２か所）,あり（３台）,,,http://www.ktr.mlit.go.jp/honkyoku/road/eki/station/sai_kitakawabe/index.html,食・買,道の駅・農産物直売所,道の駅,道の駅
1157,道の駅　あらかわ,ミチノエキ　アラカワ,秩父地域,秩父市,荒川日野538番地1,,35.9543978,139.0126058,埼玉県第１号の道の駅で、「しだれ桜とそばの里」としてよく知られている荒川に位置しています。道の駅の周りもそばの季節になると白いそばの花に囲まれます。トイレ・農産物直売所・あらかわビジターセンター（荒川の自然や動植物に関する展示、諸行事の情報を提供）が併設されています。,0494-54-0022,,秩父鉄道「武州日野駅」下車　徒歩約１５分,関越自動車道「花園」ＩＣより約６０分,あり（４台）,"（３月～１１月）８：３０～１７：００
（１２月～２月）９：００～１６：００","・（１２月～２月）毎週火曜日定休
・１２月第３火曜日～１月第２水曜日
※駐車場・トイレ・公衆電話などは２４時間ご利用頂けます。 ",-,あり（３か所）,あり（４台）,,,http://www.michinoeki-network.jp/04_annai/arakawa.htm,食・買,道の駅・農産物直売所,道の駅,道の駅
1158,道の駅　おがわまち,ミチノエキ　オガワマチ,西部地域,小川町,大字小川1220,,36.0525483,139.2808464,"緑豊かな小川町は「和紙の里」としても全国的にその名が知られており、「道の駅おがわまち」では和紙すき体験も行っています。また、埼玉県指定の伝統的手工芸品である手すき和紙、織物、手がき鯉のぼり、ひな人形、押絵羽子板、染め物など２０産地３０品目を展示している埼玉伝統工芸会館が併設されています。
※埼玉県産業観光ガイドブック「ものづくり案内帖」掲載施設",0493-72-1220,,東武東上線「小川町駅」下車　徒歩約３０分,関越自動車道「嵐山・小川」ＩＣより約１５分,あり（２台）,"９：３０～１７：００（入館は１６：３０まで）
※駐車場・トイレ・公衆電話などは２４時間ご利用頂けます。","・毎週月曜日
・祝日の翌日
・１２/２８～１/４","＜手すき和紙実演、体験＞２１０円～（要予約）
＜埼玉伝統工芸会館＞
大人（高校生以上）３００円 ｛２００円｝/ 小人（ 小・中学生 ）/１５０円 ｛１００円｝
※｛ ｝内料金は２０名以上の団体料金です。",あり（３か所）,あり（２台）,,,http://www.ktr.mlit.go.jp/honkyoku/road/eki/station/sai_ogawamachi/index.html,食・買,道の駅・農産物直売所,道の駅,道の駅
1159,道の駅　童謡のふる里おおとね,ミチノエキ　ドウヨウノフルサトオオトネ,東部地域,加須市,佐波258番地1,,36.1703097,139.6451589,童謡の名曲を生んだ音楽家「下総皖一」の生誕の地です。「たなばたさま」・「野菊」・「はなび」等の曲はこの情緒ある旧大利根町をイメージして作曲したと言われています。そこで栽培された「大利根産コシヒカリ」は豊かな水に育まれ栽培された埼玉県有数の「美味しいコシヒカリ」であり、「童謡のふる里おおとね」で販売されています。,0480-72-2111,0480-72-2112,東武日光線「栗橋駅」下車　約７０分,東北自動車道「羽生」ＩＣより約２０分,あり（２台）,"（５月～８月）９：３０～１８：００
（９月～４月）９：３０～１７：３０

※駐車場・トイレ・公衆電話などは２４時間ご利用頂けます。","・第１・第３水曜日
・年始（１/１～１/４）

※第１・第３水曜日でも、祝日・季節のイベントによっては営業します。
",-,あり（２か所）,あり（２台）,,,http://www.ktr.mlit.go.jp/honkyoku/road/eki/station/sai_ootone/index.html,食・買,道の駅・農産物直売所,道の駅,道の駅 おみやげ 食品
1160,越谷レイクタウン　水辺のまちづくり館,コシガヤレイクタウン　ミズベノマチヅクリカン,東部地域,越谷市,大成町5-431,,35.88014896,139.8235559,「水辺のまちづくり館」はホールから眺望テラスの向こうにある調節池の風景がご覧頂けます。また、まちの紹介、環境共生や地域交流に関する展示物などを展示しています。他にも、定期的に「野鳥観察・撮影会」、「浮島づくり」、「越谷レイクタウン・ランニング」、「冬のフェスタ」などのイベントが開催され、好評を博しています。,048-971-9002,,ＪＲ武蔵野線「越谷レイクタウン駅」下車　徒歩約５分,東京外環自動車道「草加」ＩＣより約２０分,,"９：００～１７：００
※駐車場も１７時に閉鎖しますので、ご注意下さい。","・毎週水曜日
・年末年始
※水曜日が祝日（元旦を除く）の際は開館します。
",無料,,,,,http://www.koshigayalaketown.com/index.html,観・楽,博物館・美術館・記念館,博物館・記念館,資料館 カヌー・ラフティング
1161,養寿院,ヨウジュイン,西部地域,川越市,元町2-11-1,,35.9240562,139.4807269,１２４４年に河越太郎重頼の曾孫にあたる経重が開基となって開かれた寺院です。川越七不思議のひとつ「城中蹄の音」にまつわる「堀川夜討ちの図」が寄進されたところでもあります。本殿には１２６０年に造られたという銅鐘が保存されており、国の重要文化財に指定されています。また、本殿の裏手には河越太郎重頼の墓があります。,0492-22-0846（養寿院）,,西武新宿線「本川越駅」下車　徒歩約２０分,関越自動車道「川越」ICより約１５分,,常時開放,なし,無料,,,,,http://www.koedokko.net/meisyo/03/youjuin/youjuin.html,観・楽,神社・仏閣,寺院,社寺
1162,日枝神社,ヒエジンジャ,西部地域,川越市,小仙波町1-4-1,,35.91810212,139.4905972,創建は喜多院と同じ８３０年で、元来は喜多院の境内にありましたが、大正時代に道路を隔てた喜多院の正面に移築されました。東京赤坂の日枝神社は川越城を築城した太田道灌が江戸城を築城する際に、川越の日枝神社から分祀したものです。本殿は三間社流造で、国の重要文化財に指定されています。,049-222-1396（川越八幡宮）,,西武新宿線「本川越駅」下車　徒歩約１５分,関越自動車道「川越」ICより約１５分,,常時開放,なし,無料,,,,,,観・楽,博物館・美術館・記念館,博物館・記念館,社寺
1163,荒川いかだ下り,アラカワイカダクダリ,北部地域,寄居町,八高線鉄橋下～川の博物館,,36.11499681,139.203043,「埼玉県立川の博物館」の開館を契機に始まったイベントで、例年８月に開催され、今は寄居の夏の風物詩となっています。荒川を「八高線の高架下近辺」から「かわせみ河原」まで自作のいかだで下り、川の流れに乗って寄居町の大自然が存分に堪能出来ます。,048-581-2161（寄居町商工会）,,-,-,,-,-,-,,,,,http://www.yorii.or.jp/,遊・体,アウトドア・スポーツ,川下り・カヌー・ラフティング,カヌー・ラフティング
1164,草加松原,ソウカマツバラ,東部地域,草加市,栄町1丁目,,35.84363002,139.8041153,"綾瀬川沿いに広がる美しい松並木です。江戸時代から「草加松原」「千本松原」などと呼ばれ、日光街道の名所となっていました。６００本余りの松が植樹された約１．５ｋｍにも及ぶこの松並木は、石畳の散策道に整備されています。また、草加宿を訪れた文学者・正岡子規や俳人・水原秋桜子の句碑なども建てられています。
",048-922-1994（草加市役所/みどり公園課）,048-922-3145（草加市役所/みどり公園課）,"東武伊勢崎線「松原団地駅」東口下車　徒歩約５分
",東京外環自動車道「草加」ICより約５分,,常時開放,なし,無料,,,,,http://www.city.soka.saitama.jp/hp/page000004400/hpg000004371.htm,遊・体,公園・緑地,遊歩道・ハイキング,遊歩道
1165,矢納フィッシングパーク/鳥羽川河川公園,ヤノフッィシングパーク/トバガワカセンコウエン,北部地域,神川町,矢納475,,36.1205594,139.0253845,矢納の森林の恵みを受けた渓流の中で、安心して川遊びが出来るよう整備された公園です。釣り堀の矢納フィッシングパークに隣接し、１年を通してニジマス釣りが楽しめます。また、夏季限定でニジマスのつかみ取りが出来るほか、園内にバーベキュー設備の持ち込みが可能で、大自然の中で釣った魚を焼いて、その場で食べる事が出来ます。,0274-52-3271（神川町神泉総合支所）,,ＪＲ高崎線「本庄駅」下車　朝日自動車バス「鬼石」行きで約４５分、終点にて神川町営バス「宇那室」行きにて約２０分、「鳥羽」バス停より徒歩約５分,関越自動車道「本庄児玉」ICより約４５分,,"＜矢納フィッシングパーク＞
９：００～１６：００",,"＜魚釣り＞
貸竿（１本）１，０００円・４匹まで釣れます。
超過料金（１匹につき）２５０円
＜えさ＞
２００円・イクラ
＜つかみどり（１人）＞
１，０００円・４匹まで捕れます",,,,※竿の持ち込みは不可,http://www.town.kamikawa.saitama.jp/kanko/spot/tobagawa.html,遊・体,公園・緑地,公園,公園・緑地 釣り
1166,尾ノ内渓谷,おのうちけいこく,秩父地域,小鹿野町,河原沢,,36.0487804,138.8869332,両神山を源流とする尾ノ内渓谷は、小鹿野八景のひとつに挙げられている、緑と清流の美しい景勝地です。また、毎年１月～２月頃まで、地元商工会の方々が手作りした見事な氷柱が吊り橋周辺にて見ることが出来、「三十槌の氷柱」とならび、秩父地域の冬の風景として親しまれています。,0494-75-1381（西秩父商工会）,,西武秩父線「西武秩父駅」下車　西武バス「小鹿野町役場」にて坂本行き村営バスに乗り換え「小金平」より徒歩約５分　尾ノ内渓谷入口,関越自動車道「花園」ICより約７０分,,-,-,-,,,,"車でお越しの方で、カーナビゲーションをご利用の方は、下記住所で検索下さい。

「埼玉県秩父郡小鹿野町河原沢９９６－１」

※上記住所地は、国道２９９号線からの尾ノ内氷柱の入口です。",http://www.nishichichibu.or.jp/hyouchuu/index.htm,観・楽,自然・景観,農村景観・その他,郷土景観
1167,飯能河原,ハンノウガワラ,西部地域,飯能市,大河原,,35.85509183,139.3118334,入間川が蛇行して出来た大きな河原で、上流は紅葉の名所として知られている吾妻峡が位置しています。飯能河原にかかる赤い割岩橋の下流両岸は、「さいたま緑のトラスト保全第４号地飯能河原周辺河岸緑地」に指定されています。浅瀬部分は子どもたちの川遊びなどに絶好のスポットで、トップシーズンには賑やかな声が絶えません。,042-974-7900（飯能市観光案内所）,,西武池袋線「飯能駅」下車　徒歩約１５分,首都圏中央連絡自動車道「狭山日高」ＩＣより飯能市街地経由約２０分,,常時開放,なし,無料,,,,,http://www.city.hanno.saitama.jp/syoukoukankou/kankou/kawara.html,観・楽,自然・景観,河川・湖沼・渓谷,郷土景観
1168,寄居北條まつり,ヨリイホウジョウマツリ,北部地域,寄居町,大字寄居 ほか,,36.114649,139.1948421,鎧兜に身を固めた武将たちの行列、荒川をはさみ大砲の砲声が鳴り響く北条軍と豊軍の攻防戦など、戦国時代を再現し、満開の桜を背景に武者絵巻を繰り広げるお祭りで、その迫力には思わず歓声があがります。例年４月の第２日曜日に開催され、多くの観光客で賑わいます。,048-581-2121（寄居町役場産業振興課）,,"（市街地本通りまで）寄居駅から徒歩約５分　
（玉淀河原まで）寄居駅から徒歩約１０分　 
（鉢形城公園まで 寄居駅から徒歩約２０分　
",関越自動車道「花園」ICより約１５分,-,"例年４月第２日曜日
",-,-,-,-,-,,http://www.town.yorii.saitama.jp/modules/mxdirectory/singlelink.php?cid=0&lid=39,観・楽,祭り・伝統芸能,祭り,体験
1169,新倉ふるさと民家園（旧富岡家住宅）,にいくらふるさとみんかえん（きゅうとみおかけじゅうたく）,西部地域,和光市,下新倉2-33-1,,35.7912179,139.6185336,"新倉ふるさと民家園は、和光市指定文化財「旧冨岡家住宅」の移築復元後、平成１８年に開園されました。旧冨岡家住宅は、およそ３００年前に創建されたと推定され、埼玉県内で最古の部類に入る歴史的価値の高い建造物です。また、園内には、潜り門・納屋風管理棟・蔵風ポンプ室等の建造物と、畑・池などがあります。
",048-424-9119（和光市役所生涯学習課）,048-464-7901（和光市役所生涯学習課）,東武東上線「和光市駅」下車　徒歩約１０分,関越自動車道「練馬」ICより約２０分,,"＜４/１～９/３０＞９：００～１７：００
＜１０/１～３/３１＞９：００～１６：３０","・水曜日（水曜日が祝日のときはその翌日）
・毎月第４木曜日
・祝日の翌日
・１２/２８～１/４",無料,,,,,http://www.city.wako.lg.jp/home/busho/shougaigakushu/_6123/kyo_7_9/_6125/kyo_sam_5.html,観・楽,歴史・文化,古民家・歴史的建造物,建造物
1170,宝登山,ホドサン,秩父地域,長瀞町,大字長瀞,,36.09303122,139.0916562,宝登山は標高４９７．１メートルで、頂上には、宝登山神社の奥宮をはじめ、付近には小動物公園、宝登山ロウバイ園、宝登山梅百花園などがある。天気の良い日には、秩父の市街や秩父連峰を一望でき、年間を通じて楽しめます。,0494-66-0307（長瀞町観光案内所）,0494-66-0308（長瀞町観光案内所）,秩父鉄道「長瀞駅」下車　徒歩約１５分　宝登山ロープウェイを利用して約５分,"関越自動車道「花園」ＩＣより国道１４０号を秩父方面へ約３０分。
「長瀞駅前」交差点を右折し、宝登山神社方面へ。",あり,９：００～１７：００,１２月中旬～下旬まで、宝登山ロープウェイの定期点検により、宝登山ロープウェイを利用できない場合があります。,入山自体は無料。,あり,あり,,,http://www.nagatoro.gr.jp,観・楽,自然・景観,名木・巨木・山,花 動物園・水族館 紅葉 自然科学 建造物 ロープウェイ
1171,秩父川瀬祭,チチブカワセマツリ,秩父地域,秩父市,秩父公園橋周辺,,,,秩父川瀬祭は、１２月に開催される「秩父夜祭」と対比するお祭りです。７月１９日の宵祭りは絢爛豪華な８基の笠鉾・屋台が秩父屋台囃子のリズムに乗って曳き回されます。笠鉾・屋台の囃子手は子供達が務め、花笠を付けた曳き子はかわいらしく楽しい子供のお祭りです。また、２０日には荒川の清流で「神輿荒いの儀式」があわせて行われます。,0494-21-2277（秩父観光協会）,,"・秩父鉄道「秩父駅」下車　徒歩約３分
・西武秩父線「西武秩父駅」下車　徒歩約１０分
",関越自動車道「花園」ＩＣより約５０分,,７/１９、２０に開催,-,-,,,,,http://navi.city.chichibu.lg.jp/festival/kawase/index.html,観・楽,祭り・伝統芸能,祭り,体験 郷土景観
